s,p,o
http://www.w3.org/2001/XMLSchema#nonNegativeInteger,http://www.w3.org/2000/01/rdf-schema#label,xsd:nonNegativeInteger
http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2000/01/rdf-schema#label,xsd:string
http://dbpedia.org/ontology/BasketballLeague,http://www.w3.org/2000/01/rdf-schema#label,Basketball-Liga
http://dbpedia.org/ontology/BasketballLeague,http://www.w3.org/2000/01/rdf-schema#label,basketball league
http://dbpedia.org/ontology/BasketballLeague,http://www.w3.org/2000/01/rdf-schema#label,Ομοσπονδία Καλαθοσφαίρισης
http://dbpedia.org/ontology/BasketballLeague,http://www.w3.org/2000/01/rdf-schema#label,バスケットボールリーグ
http://dbpedia.org/ontology/BasketballLeague,http://www.w3.org/2000/01/rdf-schema#label,basketbal competitie
http://dbpedia.org/ontology/BasketballLeague,http://www.w3.org/2000/01/rdf-schema#label,lega di pallacanestro
http://dbpedia.org/ontology/BasketballLeague,http://www.w3.org/2000/01/rdf-schema#label,농구 리그
http://dbpedia.org/ontology/BasketballLeague,http://www.w3.org/2000/01/rdf-schema#label,ligue de basketball
http://dbpedia.org/ontology/BasketballLeague,http://www.w3.org/2000/01/rdf-schema#label,sraith cispheile
http://dbpedia.org/ontology/BasketballLeague,http://www.w3.org/2000/01/rdf-schema#label,liga de baloncesto
http://dbpedia.org/ontology/SportsLeague,http://www.w3.org/2000/01/rdf-schema#label,Sportliga
http://dbpedia.org/ontology/SportsLeague,http://www.w3.org/2000/01/rdf-schema#label,sports league
http://dbpedia.org/ontology/SportsLeague,http://www.w3.org/2000/01/rdf-schema#label,Αθλητική Ομοσπονδία
http://dbpedia.org/ontology/SportsLeague,http://www.w3.org/2000/01/rdf-schema#label,スポーツリーグ
http://dbpedia.org/ontology/SportsLeague,http://www.w3.org/2000/01/rdf-schema#label,sport competitie
http://dbpedia.org/ontology/SportsLeague,http://www.w3.org/2000/01/rdf-schema#label,스포츠 리그
http://dbpedia.org/ontology/SportsLeague,http://www.w3.org/2000/01/rdf-schema#label,ligue sportive
http://dbpedia.org/ontology/SportsLeague,http://www.w3.org/2000/01/rdf-schema#label,liga deportiva
http://dbpedia.org/ontology/NaturalEvent,http://www.w3.org/2000/01/rdf-schema#label,Naturereignis
http://dbpedia.org/ontology/NaturalEvent,http://www.w3.org/2000/01/rdf-schema#label,natural event
http://dbpedia.org/ontology/NaturalEvent,http://www.w3.org/2000/01/rdf-schema#label,φυσικό γεγονός
http://dbpedia.org/ontology/NaturalEvent,http://www.w3.org/2000/01/rdf-schema#label,gebeurtenis in de natuur
http://dbpedia.org/ontology/NaturalEvent,http://www.w3.org/2000/01/rdf-schema#label,evento naturale
http://dbpedia.org/ontology/Event,http://www.w3.org/2000/01/rdf-schema#label,Ereignis
http://dbpedia.org/ontology/Event,http://www.w3.org/2000/01/rdf-schema#label,evento
http://dbpedia.org/ontology/Event,http://www.w3.org/2000/01/rdf-schema#label,event
http://dbpedia.org/ontology/Event,http://www.w3.org/2000/01/rdf-schema#label,γεγονός
http://dbpedia.org/ontology/Event,http://www.w3.org/2000/01/rdf-schema#label,イベント
http://dbpedia.org/ontology/Event,http://www.w3.org/2000/01/rdf-schema#label,gebeurtenis
http://dbpedia.org/ontology/Event,http://www.w3.org/2000/01/rdf-schema#label,사건
http://dbpedia.org/ontology/Event,http://www.w3.org/2000/01/rdf-schema#label,évènement
http://dbpedia.org/ontology/Event,http://www.w3.org/2000/01/rdf-schema#label,ócáid
http://dbpedia.org/ontology/Province,http://www.w3.org/2000/01/rdf-schema#label,Provinz
http://dbpedia.org/ontology/Province,http://www.w3.org/2000/01/rdf-schema#label,province
http://dbpedia.org/ontology/Province,http://www.w3.org/2000/01/rdf-schema#label,επαρχία
http://dbpedia.org/ontology/Province,http://www.w3.org/2000/01/rdf-schema#label,英語圏の行政区画
http://dbpedia.org/ontology/Province,http://www.w3.org/2000/01/rdf-schema#label,provincie
http://dbpedia.org/ontology/Province,http://www.w3.org/2000/01/rdf-schema#label,province
http://dbpedia.org/ontology/Province,http://www.w3.org/2000/01/rdf-schema#label,cúige
http://dbpedia.org/ontology/GovernmentalAdministrativeRegion,http://www.w3.org/2000/01/rdf-schema#label,governmental administrative region
http://dbpedia.org/ontology/GovernmentalAdministrativeRegion,http://www.w3.org/2000/01/rdf-schema#label,staatliche Verwaltungsregion
http://dbpedia.org/ontology/GovernmentalAdministrativeRegion,http://www.w3.org/2000/01/rdf-schema#label,région administrative d'état
http://dbpedia.org/ontology/GovernmentalAdministrativeRegion,http://www.w3.org/2000/01/rdf-schema#label,gebied onder overheidsbestuur
http://dbpedia.org/ontology/LunarCrater,http://www.w3.org/2000/01/rdf-schema#label,Mondkrater
http://dbpedia.org/ontology/LunarCrater,http://www.w3.org/2000/01/rdf-schema#label,cratera lunar
http://dbpedia.org/ontology/LunarCrater,http://www.w3.org/2000/01/rdf-schema#label,lunar crater
http://dbpedia.org/ontology/LunarCrater,http://www.w3.org/2000/01/rdf-schema#label,Σεληνιακός κρατήρας
http://dbpedia.org/ontology/LunarCrater,http://www.w3.org/2000/01/rdf-schema#label,maankrater
http://dbpedia.org/ontology/LunarCrater,http://www.w3.org/2000/01/rdf-schema#label,cratère lunaire
http://dbpedia.org/ontology/LunarCrater,http://www.w3.org/2000/01/rdf-schema#label,cráitéar gealaí
http://dbpedia.org/ontology/Crater,http://www.w3.org/2000/01/rdf-schema#label,Krater
http://dbpedia.org/ontology/Crater,http://www.w3.org/2000/01/rdf-schema#label,cratera
http://dbpedia.org/ontology/Crater,http://www.w3.org/2000/01/rdf-schema#label,crater
http://dbpedia.org/ontology/Crater,http://www.w3.org/2000/01/rdf-schema#label,κρατήρας
http://dbpedia.org/ontology/Crater,http://www.w3.org/2000/01/rdf-schema#label,クレーター
http://dbpedia.org/ontology/Crater,http://www.w3.org/2000/01/rdf-schema#label,krater
http://dbpedia.org/ontology/Crater,http://www.w3.org/2000/01/rdf-schema#label,cratere
http://dbpedia.org/ontology/Crater,http://www.w3.org/2000/01/rdf-schema#label,cratère
http://dbpedia.org/ontology/Crater,http://www.w3.org/2000/01/rdf-schema#label,cráitéar
http://dbpedia.org/ontology/MotorsportSeason,http://www.w3.org/2000/01/rdf-schema#label,motorsport season
http://dbpedia.org/ontology/MotorsportSeason,http://www.w3.org/2000/01/rdf-schema#label,motorsportseizoen
http://dbpedia.org/ontology/MotorsportSeason,http://www.w3.org/2000/01/rdf-schema#label,Motorsportsaison
http://dbpedia.org/ontology/SportsSeason,http://www.w3.org/2000/01/rdf-schema#label,sports season
http://dbpedia.org/ontology/SportsSeason,http://www.w3.org/2000/01/rdf-schema#label,Sportsaison
http://dbpedia.org/ontology/SportsSeason,http://www.w3.org/2000/01/rdf-schema#label,περίοδος αθλημάτων
http://dbpedia.org/ontology/SportsSeason,http://www.w3.org/2000/01/rdf-schema#label,sportseizoen
http://dbpedia.org/ontology/MilitaryPerson,http://www.w3.org/2000/01/rdf-schema#label,militärische Person
http://dbpedia.org/ontology/MilitaryPerson,http://www.w3.org/2000/01/rdf-schema#label,military person
http://dbpedia.org/ontology/MilitaryPerson,http://www.w3.org/2000/01/rdf-schema#label,στρατιωτικός
http://dbpedia.org/ontology/MilitaryPerson,http://www.w3.org/2000/01/rdf-schema#label,軍人
http://dbpedia.org/ontology/MilitaryPerson,http://www.w3.org/2000/01/rdf-schema#label,militair
http://dbpedia.org/ontology/MilitaryPerson,http://www.w3.org/2000/01/rdf-schema#label,militare
