document,personLabel,party_label,mention
http://www.reuters.com/article/2014/10/06/us-art-auction-idUSKCN0HV21B20141006,Marlon Brando,Democratic Party,http://data.ontotext.com/publishing#Mention-4aa4b5dfc8aaa5ca4b312a155914de5d54863965be362ec12c1554172701acce
http://www.reuters.com/article/2014/10/10/us-aig-bailout-bernanke-idUSKCN0HZ1MH20141010,Ben Bernanke,Republican Party,http://data.ontotext.com/publishing#Mention-264535e0da7740fe18ced49788f481d7cbc93b806f74e6e3a077765a8988b490
http://www.reuters.com/article/2014/10/10/us-aig-bailout-bernanke-idUSKCN0HZ1MH20141010,Ben Bernanke,Republican Party,http://data.ontotext.com/publishing#Mention-29b02a7ef00f257b0770440ec10c97de8e6a1d39a90aac00df0fda7743095e52
http://www.reuters.com/article/2014/10/10/us-aig-bailout-bernanke-idUSKCN0HZ1MH20141010,Ben Bernanke,Republican Party,http://data.ontotext.com/publishing#Mention-34e821b66a8d88aa216ce1e1cb298d26361e086e7e2002f7363e6bdce7d134ec
http://www.reuters.com/article/2014/10/10/us-aig-bailout-bernanke-idUSKCN0HZ1MH20141010,Ben Bernanke,Republican Party,http://data.ontotext.com/publishing#Mention-4fc787b31494a483aa48ef7e4ef25e637153a50b39062a6a7f01201eb245f558
http://www.reuters.com/article/2014/10/10/us-aig-bailout-bernanke-idUSKCN0HZ1MH20141010,Ben Bernanke,Republican Party,http://data.ontotext.com/publishing#Mention-9b2878a476c9c0cc7e4ba190ee82ee8cfa330d9cdc4e9bb4b69168d11aee8dfb
http://www.reuters.com/article/2014/10/10/us-aig-bailout-bernanke-idUSKCN0HZ1MH20141010,Ben Bernanke,Republican Party,http://data.ontotext.com/publishing#Mention-c3cf366237100f4d36f3efa71802cc8f59d4848bf7e7d9bb2cb00686390e036d
http://www.reuters.com/article/2014/10/10/us-aig-bailout-bernanke-idUSKCN0HZ1MH20141010,Ben Bernanke,Republican Party,http://data.ontotext.com/publishing#Mention-c835a4ade74745493f241ed463a79c1f2cea5206ed5c8ff08c24b9ec265fec43
http://www.reuters.com/article/2014/10/10/us-aig-bailout-bernanke-idUSKCN0HZ1MH20141010,Ben Bernanke,Republican Party,http://data.ontotext.com/publishing#Mention-ebd86e29c8c705f7343ca8f68739f81d2f6aa254358834715f6ad068bad3a18d
http://www.reuters.com/article/2014/10/10/us-health-ebola-usa-idUSKCN0HY2A520141010,Barack Obama,Democratic Party,http://data.ontotext.com/publishing#Mention-705a80ff154a6c9cce8ad6fa1aca37249c12bada619cdaffa5afd55aee07953f
